appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
49438,Heat of Battle Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49439,Eons of Evil Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49440,Heart of the Worlds Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49441,Weapons of the Warrior Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49442,Root of the Firemind Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49443,Master of Shadows Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49460,Magic: the Gathering - Duels of the Planeswalkers Demo,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,1,,Strategy,[]
49470,Magic: The Gathering - Duels of the Planeswalkers 2012,Stainless Games Ltd,Wizards of the Coast LLC,,803,114,0,200000,3992,0,4306,0,0,0,0,11,"English, French, German, Italian, Spanish - Spain",Strategy,"100,80,79,51,39,22,19,15,12,10,8"
49473,Magic: The Gathering 2012 - Expansion ,Stainless Games Ltd,Wizards of the Coast LLC,,4,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,21
49474,Magic 2012 Deck Pack 1 ,Stainless Games Ltd,Wizards of the Coast LLC,,3,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,21
49475,Magic 2012 Deck Pack 2,Stainless Games Ltd,Wizards of the Coast LLC,,3,2,0,20000,0,0,0,0,299,299,0,0,"English, French, German, Italian, Spanish",Strategy,21
49476,Magic 2012 Deck Pack 3,Stainless Games Ltd,Wizards of the Coast LLC,,3,1,0,20000,0,0,0,0,299,299,0,0,"English, French, German, Italian, Spanish",Strategy,21
49477,Humanoids Persona Pack,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49478,ValveTestApp49478,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49479,Magic: The Gathering - Duels of the Planeswalker 2012 Persona Pack: Dragons,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49480,Magic the Gathering: Duels of the Planeswalkers 2012 Demo,Stainless Games Ltd,Wizards of the Coast LLC,,722,95,0,20000,0,0,0,0,0,0,0,1,,,"78,51,38,22,19,15,12,10,7"
49490,Magic 2012 Full Deck “Ghoulkeeper” ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49491,Magic 2012 Foil Conversion “Ghoulkeeper” ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49492,Magic 2012 Full Deck “Dark Heavens”,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49493,Magic 2012 Foil Conversion “Dark Heavens”,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49494,Magic 2012 Full Deck “Forest’s Fury” ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49495,Magic 2012 Foil Conversion Forests Fury,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,999,999,0,0,"English, French, German, Italian, Spanish",Strategy,20
49496,Magic 2012 Full Deck “Beknighted”  ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49497,Magic 2012 Foil Conversion Beknighted ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,999,999,0,0,"English, French, German, Italian, Spanish",Strategy,20
49498,Magic 2012 Full Deck “Trinity of Elements” ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,20
49499,Magic 2012 Foil Conversion Trinity of Elements ,Stainless Games Ltd,Wizards of the Coast LLC,,1,0,0,20000,0,0,0,0,999,999,0,0,"English, French, German, Italian, Spanish",Strategy,20
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,242819,16363,0,20000000,2863,453,1039,578,1999,1999,0,3030,"English, French, German, Italian, Japanese, Spanish - Spain, Korean, Traditional Chinese","Action, RPG","95,639,084,903,774,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
49536,Borderlands 2 Unused Pre-Order DLC 1,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49537,Borderlands 2 Unused Pre-Order DLC 2,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49538,Borderlands 2 Unused Pre-Order DLC 3,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49540,Aliens: Colonial Marines Collection,Gearbox Software,SEGA,,5659,4024,0,500000,617,0,357,0,2999,2999,0,23,"English, French, German, Italian, Polish, Russian, Spanish - Spain",Action,"220,174,160,135,124,116,105,97,88,56,55,51,47,41,32,22,9,6,6,6"
49600,Beat Hazard,Cold Beam Games,Cold Beam Games,,6718,367,0,1000000,430,0,338,0,999,999,0,5,"English, French, German, Italian, Spanish - Spain, Dutch","Action, Casual, Indie","475,290,289,232,228,200,188,167,147,125,119,115,99,81,79,79,77,73,68,66"
49603,Beat Hazard  iTunes & m4a file support,Cold Beam Games,Cold Beam Games,99,25,9,66,20000,0,0,0,0,99,99,0,0,"English, French, German, Italian, Spanish","Action, Indie, Casual","21,20,20"
49604,Beat Hazard Ultra,Cold Beam Games,Cold Beam Games,,94,3,0,20000,0,0,0,0,499,499,0,0,"English, French, Italian, German, Spanish - Spain, Dutch","Action, Casual, Indie","24,22,21,11"
49605,Beat Hazard: Golden Ship,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49610,Beat Hazard Demo,Cold Beam Games,Cold Beam Games,,6416,331,0,20000,0,0,0,0,0,0,0,1,English,"Action, Casual, Indie","468,287,285,225,223,194,182,164,144,122,118,109,97,78,77,77,75,67,66,65"
49700,Stargate Resistance,FireSky,FireSky,,0,0,0,20000,0,0,0,0,0,0,0,1,English,"Action, Adventure",[]
49800,Flight of the Icarus,Muse Games,Muse Games,,97,153,0,100000,10,0,10,0,499,499,0,0,English,"Action, Indie","29,27,14"
49810,CreaVures,Muse Games,Muse Games,,131,34,0,50000,0,0,0,0,499,499,0,0,"English, Dutch, French, German, Italian, Spanish - Spain",Indie,"42,18,7,7,5"
49900,Plain Sight,Beatnik Games,Beatnik Games,,186,91,0,100000,103,0,183,0,499,499,0,0,"English, French, German, Italian, Spanish - Spain","Action, Indie","34,30,12,8,6"
50000,Nimbus,Noumenon Games,Noumenon Games,,211,11,0,100000,0,0,0,0,999,999,0,1,English,"Indie, Racing","32,28,13,10,8,6,6,5"
50010,Nimbus Demo,Noumenon Games,Noumenon Games,,184,10,0,20000,0,0,0,0,0,0,0,0,English,"Indie, Racing","32,28,13,10,8,6,5"
50100,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,134711,5726,0,20000,0,0,0,0,2999,2999,0,0,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",Strategy,"476,941,272,442,225,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
50110,Borderlands: The Secret Armory of General Knoxx,Gearbox Software,2K,,368,110,0,20000,0,0,0,0,2999,2999,0,0,"English, French, German, Italian, Spanish - Spain","Action, RPG","29,26,8"
50120,MLB 2K10,2K Sports,2K Games,,0,0,0,20000,0,0,0,0,0,0,0,1,English,Sports,[]
50130,Mafia II (Classic),2K Czech,2K,,45278,2345,0,5000000,1267,0,738,0,2999,2999,0,362,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",Action,"147,411,611,136,993,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
50140,Mafia II - Made Man DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
50141,Mafia II - Renegade DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
50142,Mafia II - Vegas DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
50143,Mafia II - Greaser DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
50144,Mafia II - War Hero DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
50145,Mafia II DLC: Jimmy's Vendetta,2K Czech,2K,,98,142,0,20000,0,0,0,0,0,0,0,0,"Czech, English, French, German, Italian, Polish, Russian, Spanish - Spain",Action,"46,10"
